International Energy Agency ;SIC;;;;;;;;;
Road;7363;;;;;;;;;
Road;1610;;;;;;;;;
Road;5500;;;;;;;;;
Road;4210;;;;;;;;;
Road;2951;;;;;;;;;
Road;4700;;;;;;;;;
Road;1620;;;;;;;;;
Road;4300;;;;;;;;;
Road;4119;;;;;;;;;
Aviation;3720;;;;;;;;;
Aviation;3721;;;;;;;;;
Aviation;4580;;;;;;;;;
Aviation;4512;;;;;;;;;
Aviation;3724;;;;;;;;;
Aviation;4581;;;;;;;;;
Aviation;3812;;;;;;;;;
Rail;4010;;;;;;;;;
Rail;4100;;;;;;;;;
Rail;4011;;;;;;;;;
Rail;3743;;;;;;;;;
Rail;4000;;;;;;;;;
Pipeline;3011;;;;;;;;;
Pipeline;3612;;;;;;;;;
Ship;6331;;;;;;;;;
Residential;6513;;;;;;;;;
Residential;6510;;;;;;;;;
Residential;3430;;;;;;;;;
Residential;3630;;;;;;;;;
Residential;1540;;;;;;;;;
Commercial;6199;;;;;;;;;
Commercial;6311;;;;;;;;;
Commercial;6798;;;;;;;;;
Commercial;4812;;;;;;;;;
Commercial;6532;;;;;;;;;
Commercial;6512;;;;;;;;;
Commercial;6300;;;;;;;;;
Commercial;7320;;;;;;;;;
Commercial;9998;;;;;;;;;
Commercial;4810;;;;;;;;;
Commercial;6200;;;;;;;;;
Commercial;6799;;;;;;;;;
Commercial;4813;;;;;;;;;
Commercial;6500;;;;;;;;;
Commercial;4841;;;;;;;;;
Commercial;5961;;;;;;;;;
Commercial;5944;;;;;;;;;
Commercial;8111;;;;;;;;;
Commercial;4833;;;;;;;;;
Commercial;7374;;;;;;;;;
Commercial;7370;;;;;;;;;
Commercial;7385;;;;;;;;;
Commercial;4899;;;;;;;;;
Commercial;5310;;;;;;;;;
Commercial;7380;;;;;;;;;
Commercial;6370;;;;;;;;;
Commercial;971;;;;;;;;;
Commercial;3663;;;;;;;;;
Commercial;5712;;;;;;;;;
Commercial;6351;;;;;;;;;
Commercial;7389;;;;;;;;;
